"StoryID","StoryTranscript_Edited"
"56","My third story is about the Triceratops, most common large plant eating dinosaurs of the late Cretaceous period in western North America where the Triceratops, they were found Nowhere else in the world. The word which means horned faced fits with these massive four leg dinosaurs. They had huge heads and a boney frail developed from the rear skull bones that protected their neck. Different species had from one to a dozen sharp horns growing from their snout, head or from the boney frail. The pillarlike legs and heaving hooved feet supported a stocky body that was covered with a tough thick hide. Scientists now believe that these dinosaurs could run up to speeds at least 30 mph at least for a short distance. The modern animal they resemeble most is the rhinosaurus but the dinosaurs were much bigger. A charging dinosaur of this type would have been a terrifying foe and that time dinosaurs need all the protection they could get, the Cretaceous one was a dangerous one. All the evidence suggests that these dinosaurs found safety in numbers. They moved in great herds through the forests and when threatened by some of the great predators of the period like Tyrannosaurus they could have formed a cirlce with their horned heads facing outwards towards the danger, The smaller and weaker young would be in the center, that would have been an effective defense even against the fearsome Tyrannosaurus. These dinosaurs did not have teeth, they forged throught the upland forests chopping off vegetation with their shape toothless beaklike mouthsthey adapted to take advantage of the newly evolved and tougher vegetation of the late Cretaceous. Of all the horned dinosaurs the best known and probably the most numerous was Triceratops. It was probably the largest dinosaur of this type a full grown Triceratops weighed more than the modern African bull elephant today's largest land animal. It's skull alone with the short neck frail has more than 6 feet long. It had a short thick nose horn and two long horns higher on it's head. These horns could have measured more than three feet each. Scientists were confused when the first fragamentary remains of this create were discovered. When the great fossil collecter Marsh was shown the horns of a Triceratops he thought they belonged to an extinct species of bufallo. Marsh was wrong, a few years later one of his associates found a full skull of one of the creatures. Marsh realized that the horns came from a long extinct dinosaur not a dead buffallo. Because of the massive structure of  Triceratops skull it was more likely to be preserved than the bones of other weaker dinosaurs. Hundreds of well preserved Triceratops specimens have been found over the years in the Western US and Canada. The American fossil hunter Barnum Brown is said to have collected more than 500 skulls of this particular dinosaur. Today more than 15 species of Triceratops were recognized. Fossilized remains of this dinosaur can be found in most large and many small museum collections. Many of the skulls, horns and neck frames were found to be damaged and scared. This suggests that this individual and often Triceratops often sparred with one another. Perhaps they locked horns and shoved one another with their head shields rather than doing actual damage with their shapr horns. These dangerous weapons were probably only used on real enemies like Tryannosaurus. Fossils show that Tricerotops continued to flourish right up to the end of Creteceous period. It may well have been the last surviving large dinosaur in the Western part of North America and perhaps the last surviving large dinosaur in the entire world but it too mysteriously died off at the end of the Cretaceous period along with all the other dinosaurs."
"57","My fourth story is about seals. Seals rely on their sense to find and track prey and avoid threats. In general they have good vision and hearing. Seals can usually see well in both light and dark conditions, whether they are on the sunny beach or the dark depths of the ocean. A seals hearing is about as good as a human's when it is on land however this sense becomes much stronger under water. Some seals have a range of hearing more than three times greater than humans have under water. Seals also rely heavily on their sense of touch when they are under water. The long whiskers on a seals face are very sensitive they can feel even the smallest movements in the water. As fish an other sea animals swim they leave behind trails of movement in the water, a seals whiskers can detect these trails from animals that passed by from more than a half a minute or later. This allows the seal to track prey and avoid preditors. "
"58","My last story is about they Beagle, they come from Great Britain. Beagles were originally bread to hunt rabbit in packs in Great Britain. They first came to the US in the 19th century now they are one of America's most popular pet dogs. The bread is at least 150 years old. Beagles are small dogs. They have big brown eyes and long droopy ears, their tails are medium length, they have short coats that are tan, black and white. There are two sizes of Beagles, height up to 13 inches or 13-15 inches. Weight 20-30 pounds. Personality: Beagles are friendly and bubbly. They get along with everyone, they love kids and dogs. They are very playful and they love to dig. Activity level: moderate. First loves: more people, running and chasing, digging. Best Families: Beagles love kids with  time to hang out, they don't mind living in the city or the country. Pluses: easy to groom, friendly, good watch dogs, good with kids and other dogs. Minuses: bark, can be stubborn, dig, will wonder. Fun fact: the US department of Homeland Security uses Beagles to search for illegal plants, fruit and meat coming into the country. These detection Beagles are called the Beagle Brigade. The Beagle Brigade is made up mostly of Beagles rescued from shelters."
"59","Friction let me stop and slow down and sit on the bench."
"60","The bus slowed down to a stop with friction."
"61","Friction let my pencil stop rolling."
"62","The ball stopped."
"63","Friction let the car drive."
"64","The batteries turned on the XBox controller"
"65","Science let me eat my food because it helped me digest it."
"66","Gas extracted from the ground or oil let us let our car drive."
"67","So what i did was i had my skateboard and i pushed with myself on it, not very fast but it took 9 seconds to go to a full stop. And then i pushed it without me on it and it took ten seconds to stop"
"68","So this time i poured water on the concrete and it kept going and it almost reached the edge of the concrete. It got a little bit more than half way until it stopped, i really did think it would get to the end,"
"69","So i was shooting my bow and arrow and the friction in the air made my bow and arrow go slower. Some went pretty far but it would have gone faster if there weren't any friction in the air."
"70","So i was rubbing my hands together because i was cold and they became really hot because of friction."
"71","So i had an egg on the counter and it started rolling and then it stopped because of friction"
"72","I was riding on my bicyle and i just pumped it a few times and then i waited and it went to a full stop because of friction"
"73","I'm afraid to go outside because there's birds outside and when they poop gravity pulls it to the earth"
"74","I tripped and was pulled to the earth by gravity"
"75","An egg rolled off of the counter and it fell because of gravity"
"76","So i was on the trampoline and i went up and gravity forced me down"
"77","When my pet hampster rolls in his ball there is no friction pushing it back so he goes on forever until he hits a wall."
"78","When the marbles i dropped were rolling the friction wasn't pushing it back because it was a circular object so it would not roll backwards, it wouldn't be pushed back."
"79","When my brother was dribbling the basketball there was no friction in the air so the ball wouldn't stop in the air so it would go down and up and wouldn't stop."
"80","The friction of me writing with my pencil since the paper was a solid surface it would not move back."
"81","When i was walking and running there was no friction stopping me from doing either of those."
"82","When i dropped my pencil there was no gravity uh there was gravity pushing it to the floor."
"83","When i dropped my football there was gravity pushing it down"
"84","When leaves were floating down there was low gravity pushing it down"
"85","The weather in the moring, uh the skies always dark so there's so the weathers's cooler and when the sun comes up the weather gets warmer"
"86","When i was running and walking there was momentum from keeping me from stopping"
"87","Hello my name is Isabel and i'm going to be telling you a little bit about gravity. Gravity is what holds you to the ground or what keeps you to the floor. Today what i noticed was that in recess everyone was playing and the balls were dropping, everyone was running and having fun but without even floating they kept dropping and staying on the floor. So I was being kind of observant and asking people if they know what gravity is I got a lot of different answers and a lot of different friends that i could ask. So that's what i did today"
"88","Today when i got home i figured out that things weren't floating when i thought they might be but that would only be crazy. And so when i went in my room and instead of everything floating everything was staying where they were especially the things that are big. Even the things that are real weren't moving. Only things that i was holding. So that is what i was observing today, my name is Isabel and this was about gravity bye!"
"89","On Saturday uh my mom was cooking and the way that she was cooking our dinner, she was kind of making smoke and i didn't really like how it smelled. So i tried to go to my room and i had socks on and i slipped and instead of floating i absolutely fell to the ground and hurt my left ear. So what i did was i put some cold onion and when my mom opened the freezer door nothing really floated. And we were watching a Pokemon movie and there was a Pokemon floating and they were supposed to do that. So that was my story about Saturday and I actually made it today. Well my name is Isabel and i just wanted to tell you a little bit about my day saturday. "
"90","Yesterday i was doing yoga and the person that was on the DVD kept mentioning that gravity helps you do yoga"
"91","Today when i was in kids club and we have something called club and i'm in a science club and we were doing this thing where there was an experiment about trying to make fake blood out of corn starch and corn syrup, red dye, and blue dye "
"92","Today I watched my mom drive the car down the pavement and when she wanted to stop she had to push the brakes down to put more friction on the wheels to stop the vehicle from running."
"93","I tested out my friction experiment with my soccer ball in the tall grass of my backyard and the ball..there was too much friction so the soccer ball didn't go that fast it went super slow in the grass, in the tall grass in my backyard. Then i tried it on my trampoline and it went too fast."
"94","I learned that when you're trying to lift something over a tree branch with a rope the device that you need to pull it is a pully so that the friction won't be as hard because if the friction is too hard the tree branch will eventually break so what you need is a pully so that there is less friction."
"95","If you have a pile of bricks and you're trying to move them from one place to another and you put a piece of wood on the ground and put the bricks on top of that piece of wood and you start to pull or push the wood it wouldn't work because there is too much friction touching the ground from the wood to the ground so what you need is some wheels to put it on there so there is less friction and then you can pull it easier because of the wheels."
"96","If you have a gun and you're trying to cock it and you get it back and it's not running well and it *makes scraping noise* what you need to fix that is oil so there is less friction so you can just *clicking noise* and then it will be ready."
"97","If you have gears and they're not running so good if they're not turning right and they won't work, what you do is you get oil and you put it in there so there is less friction so they'll run better but if you don't have oil then there is too much friction and they won't run."
"98","I learned that if you have a ball and if you drop that ball it will fall and bounce because of gravity and if there wasn't any gravity it would fall, it wouldn't fall"
"99","When you're on earth you weigh the same as you always weigh but if  you're on the moon or a different or another planet then you will weigh lighter. and some planets you weigh heavier but the moon it's so light that there's not much gravity so you can hop a lot easier and jump and your walking is not usual."
"100","When you're on a trampoline and you bounce up and when you're coming back down that gravity. And how i know it's gravity is that if there wasn't any gravity then you wouldn't bounce you would float"
"101","If you have a pulley and you are trying to lift something up that's crazy heavy all you need to do is have something heavier than the thing that you are trying to pull up. And once you like your strength so what you do is you pull one end of the rope and what you what it'll do is it'll lift up the other end."
"102","If you have a bolder and you're trying to move it what you do is you get a long hard thick stick and you put one of those ends of the stick under the rock and you push down on the end that's not under the rock and it'll act like a lever and it'll push the rock up and kinda like a seasaw so one end goes down and the other end goes up"
"103","My pencil falls off my desk, my papers fall off my desk, my notebook falls off my desk, my eraser falls off my desk, my glue falls off my desk. Everything falls off my desk!"
"104","The bird just did a dive thanks to gravity"
"105","The library is has a bridge across to it and is being held up by both the library and the walkway across from the other side of it"
"106","The bridge across to the library is being held up by both the library and the building across form it that is part of gravity because it makes us not fall off "
"107","Leaves are falling to the ground"
"108","I was pretending that i flicked down some bikes and then later while i was on my way here i found a bike that fell down"
"109","A sled is going down a snowy hill, that is a example of friction"
"110","A piece of paper just went off the table, it is slowly going down to the ground, that is an example of gravity"
"111","I realized that friction causes cars to stop when you step on the brakes the brake pannel goes on the tire to stop the tire."
"112","So i was going to school and i saw these kids riding their bike and i noticed that hte concrete was a little bit smoother so that allows them to go riding on their bike."
"113","I noticed that when i slid on the carpet i stopped almost immediately because the carpet is a rough surface so me sliding against it causes me to stop."
"114","Okay so i just got in the truck and i started rubbing my hands together because it's cold outside so i started rubbing my hands together and i i noticed that they started to warm up a little bit and it was it was friction because friction causes heat also."
"115","So today i see a skateboarder near aggieland and he's grinding on a rail and i saw sparks come out from under his board and i realized that it was friction and like i said earlier friction causes heat so i just saw an example of friction."
"116","Today I was driving to school and I saw this fountain and I realized it was science because it's pushing up against gravity so that hose has to be really strong"
"117","Okay again I'm still going to my school and I see this house and it has this big blue like sheet around insilating the house so it keeps it warm in the winter and keeps heat out in the summer"
"118","So I was at the school and I noticed that we were doing ukelelees in music and i saw this poster on the wall and it had something producing sound and it had sound waves like expanding out from that um instrument or sound machine"
"119","So while on the way to drop this watch off and we stopped to get gas and I realized that gas is made up of a bunch of different chemicals and it fuels the car obviously. So i just thought that was really cool and it popped out to me and i just thought it was really interesting."
"120","So i see cars all around me and i realize that cars are science because they use, there's all these pistons and [something] to it and these..it has an engine and it's just really cool how cars work."
"121","Friction is something that makes things slow down without friction we would be sliding around everywhere. Friction is either a lot or less and it depends on the texture if it's nice and smooth there will be less friction if it is a hard rough ground it will be more friction. For an example if you were ice skating ice is very less friction so you will be mostly sliding around everywhere."
"122","Another example of friction is if um you have a pencil and a desk is slightly tilted there is still there will be very less friction and the pencil will automatically start rolling."
"123","Try putting on socks and then try sliding everywhere it's pretty easy oh and try doing it on a smooth surface and when you do it it's pretty easy isn't it? Because the bottom of your socks are smooth and that means there's less friction which means you slide. But try it with shoes it isn't that easy because shoes have a rough bottom and that means more friction and that also means you won't move as well."
"124","Try kicking a soccer ball on a smooth surface, it's pretty easy because you're doing it on a smooth surface which means less friction and less friction means it'll go pretty easily and far. But then try doing it on a carpet, it's not gonna work as well because it's pretty rough well that is because the friction is more and that means it'll slow down and go not as far."
"125","Try sliding a ball down a slide, it'll go pretty easily because there's less friction which means that it'll go easily. now try doing it on a rough slide, that means it won't go easily because more friction always means that it'll go a lot slower."
"126","To make a crystal you have to tie strings to make a design, dip it in water in hot water with borax and then leave it over night. When it is morning it will have dissolved and it would have turned into a crystal."
"127","Sir Isaac Newton discovered gravity when an apple, when he was sitting under a tree and an apple fell on his head. that's how he discovered gravity."
"128","A spook fish is an interesting fish. A spook fish is a really spooky sight you can see through it's head. It's eyes are in it's head and it's eyes can move in all different directions."
"129","Seapigs cannot swim they walk on the sea floor with their little legs. They can smell food that's really far away from them and sea pigs they eat something that humans think would be horrible and it's it's um melted algae that came from the surface."
"130","Okay so this is going to be about gravity, number one. So if you have a hair cut then your hair will feel then your head will feel lighter than it is with longer so the longer your hair is the heavier your head will feel so if you get your hair cut gravity will change the feeling in on your head and it will feel a little less than it is so gravity is what changes so if you get your hair cut the shorter it is the less pounds the less it's less heavier so the longer it is the heavier your head will feel so that's for the first one"
"131","When i was at the park i was testing out if the bigger rock was going to go down on the ground faster than the little rock but instead it looked like they fell on the ground at the same time and that's it for this story"
"132","When i was playing with two balls one was bouncy and one was a soccer ball and when i dropped them at the same time the bouncy ball bounced higher than the soccer ball i think it's because that we did that because it was that gravity there was less gravity in the bouncy ball and the soccer ball had more gravity so that's why i think the bouncy ball bounces higher than the other"
"133","Um I was thinking if we had no gravity at all we would be flying into outerspace by now but if we had just a little less we might be able to just jump really high and maybe float a little bit and also our water might not spill very well or anything so i think that would be cool"
"134","So i was thinking i hope there's a machine that i can go in so i can fly around and the water won't spill and i can drink it from a straw and that's all"
"135","When you rub your hands together and they get warm that's an example of friction"
"136","Polution makes the environment unhealthy. Air polution can happen if a car gives out too much carbon dioxide if trees are there it can take it in and nothing will go wrong but if the trees are cut down and used to make buildings then the polution will spread and it can effectthe environment and the human life and health."
"137","I was in my car and my mom stopped putting her foot on the acceleration and we rolled for a long time."
"138","I have a bow and arrow and i flung it at a target and it slowed down when i when it hit the target."
"139","I poured some water on the concrete and it kept going but it stopped eventually."
"140","I saw a guy on a skateboard today and he fell off of it and the skateboard went a long away before it stopped in the grass."
"141","I saw a snail today and I realized that if there were no friction it would be able to move really fast."
"142","I was riding my bike and i stoppe peddling and it stopped"
"143","I dropped a ball and it uh bounced on the ground"
"144","I poured water into a glass and it didn't float away"
"145","I threw a rock and it went to the ground"
"146","I threw a rock into the water and it slowed down because the mass in the water is greater"
"147","I poured my milk cup across the table and I noticed that it was friction."
"148","Today at school I um thought um about friction because I was hitting the um the um basketball with my hand"
"149","My sister was leaning on me while i was walking and that was friction"
"150","When I was walking up the hill I noticed that it was harder to walk up the hill and that was friction."
"151","The other day when I was doing my homework my dog Princess was sitting on the edge of the um couch and she fell over, gravity caused her to fall on the floor."
"152","I noticed that the wheels were um rolling against the ground um um to school"
"153","There was once an egg on a table at my house and my dog Princess climbed the table and made um one of the um three eggs roll off of the table and onto the floor um gravity caused the egg to fall on the floor"
"154","Um i was climbing a tree once and uh uh tree once and uh i feel off and gravity caused me to fall onto the grass"
"155","One time I was standing over a tree and a apple fell on my head, gravity caused the apple to fall and land on my head"
"156","One time i saw a bird go to the bathroom on my dad's car and when he went to the bathroom in the air i noticed that the bird droppings went down and that was gravity"
"157","Over the weekend I went riding my bike and I was riding it and concrete was friction. Friction the the wheels and my bike."
"158","Gravity pulls you up from space and um without gravity everything would fall down and uh and there's more gravity in the moon better than the earth and uh and in space there's lots of gravities and i talked about four topics or five about different about gravity as i can remember. One more, gravity is all over space and and and planets and and without the gravity every planet will fall down and *inaudible*"
"159","Do you know why water when your mom boils water in your house do you know why there's bubbles? It's because [to mom ""what is it mom""] it's because the water's evaporation up to the clouds that's making clouds"
"160","I am going to tell you about condensation and preciptiation. Do you know why the cloud gets darker and darker it's because more water is coming in and that means it's condensation and when the water's getting up from the cloud and it gets darker that means that it's precipitation and it's tons of fun when you have rain"
"161","I am going to talk about planets. Planets are things that have different creatures and different things that can be poison, dangerous, there's tons of creatures there like maybe humans, aliens something but there might be different stuff that we never seen in planets but we will seen but we will see later"
"162","Do you know why rocks do you know where rocks come from? rocks come from glaciers, mountains um and do you know how it forms a rock? It's because the weather, years come on, weather comes on everything breaks and it comes to rock and that's why you can find rock anywhere you go."
"163","I wish there was half gravity so that i could jump really high"
"164","Gravity makes water pour down"
"165","Does the moons gravity, effects anything from the water?"
"166","Bugs are smaller so they pretty much have less gravity"
"167","Gravity makes our cars stay on the ground so that's what they.."
"168","You can find quartz stone when you're mining"
"169","Plugs have electricity so you can charge anything"
"170","Smartwatches is also science if you take the back apart there's tons of wiring"
"171","Dogs are science because they they have more sense they can smell things that are..."
"172","There's drops on my window it's probably because of condensation, i noticed when i looked out my window"
